,filename,xmin,ymin,xmax,ymax,wbc_type
0,_0_1169.jpeg,116.0,64.0,223.0,172.0,eosinophil
1,_0_1414.jpeg,151.0,110.0,251.0,208.0,eosinophil
2,_0_207.jpeg,69.0,85.0,204.0,203.0,eosinophil
3,_0_2142.jpeg,109.0,56.0,254.0,171.0,eosinophil
4,_0_2370.jpeg,74.0,116.0,188.0,216.0,eosinophil
5,_0_3072.jpeg,82.0,46.0,172.0,141.0,eosinophil
6,_0_4431.jpeg,88.0,11.0,230.0,147.0,eosinophil
7,_0_4480.jpeg,42.0,94.0,181.0,229.0,eosinophil
8,_0_4574.jpeg,10.0,19.0,128.0,160.0,eosinophil
9,_0_4747.jpeg,54.0,120.0,178.0,240.0,eosinophil
10,_0_5315.jpeg,125.0,22.0,236.0,132.0,eosinophil
11,_0_5472.jpeg,167.0,145.0,307.0,240.0,eosinophil
12,_0_5579.jpeg,105.0,108.0,247.0,240.0,eosinophil
13,_0_5702.jpeg,150.0,143.0,283.0,240.0,eosinophil
14,_0_6060.jpeg,75.0,16.0,178.0,116.0,eosinophil
15,_0_6149.jpeg,79.0,121.0,204.0,240.0,eosinophil
16,_0_6311.jpeg,52.0,109.0,179.0,200.0,eosinophil
17,_0_651.jpeg,138.0,36.0,248.0,153.0,eosinophil
18,_0_6628.jpeg,161.0,35.0,293.0,164.0,eosinophil
19,_0_6863.jpeg,89.0,46.0,229.0,179.0,eosinophil
20,_0_7353.jpeg,0.0,105.0,116.0,230.0,eosinophil
21,_0_7445.jpeg,27.0,38.0,123.0,133.0,eosinophil
22,_0_7721.jpeg,51.0,86.0,141.0,168.0,eosinophil
23,_0_7803.jpeg,149.0,129.0,252.0,225.0,eosinophil
24,_0_7902.jpeg,128.0,0.0,280.0,149.0,eosinophil
25,_0_797.jpeg,61.0,121.0,152.0,198.0,eosinophil
26,_0_7989.jpeg,98.0,123.0,234.0,240.0,eosinophil
27,_0_9044.jpeg,147.0,72.0,277.0,202.0,eosinophil
28,_0_9188.jpeg,26.0,73.0,116.0,154.0,eosinophil
29,_0_9211.jpeg,143.0,10.0,288.0,135.0,eosinophil
30,_0_9284.jpeg,77.0,9.0,228.0,141.0,eosinophil
31,_0_9508.jpeg,65.0,0.0,203.0,68.0,eosinophil
32,_0_9795.jpeg,97.0,140.0,259.0,240.0,eosinophil
33,_0_991.jpeg,119.0,142.0,266.0,240.0,eosinophil
34,_10_1654.jpeg,101.0,3.0,251.0,133.0,eosinophil
35,_10_1702.jpeg,75.0,6.0,229.0,149.0,eosinophil
36,_10_1786.jpeg,67.0,82.0,202.0,202.0,eosinophil
37,_10_1959.jpeg,107.0,21.0,194.0,103.0,eosinophil
38,_10_226.jpeg,222.0,126.0,305.0,202.0,eosinophil
39,_10_2291.jpeg,122.0,32.0,232.0,143.0,eosinophil
40,_10_2634.jpeg,33.0,114.0,122.0,204.0,eosinophil
41,_10_2656.jpeg,127.0,38.0,213.0,121.0,eosinophil
42,_10_3040.jpeg,104.0,6.0,246.0,147.0,eosinophil
43,_10_324.jpeg,107.0,86.0,196.0,175.0,eosinophil
44,_10_3486.jpeg,112.0,182.0,208.0,240.0,eosinophil
45,_10_3514.jpeg,212.0,24.0,320.0,171.0,eosinophil
46,_10_3660.jpeg,138.0,12.0,294.0,147.0,eosinophil
47,_10_3901.jpeg,112.0,71.0,222.0,185.0,eosinophil
48,_10_4755.jpeg,162.0,116.0,307.0,240.0,eosinophil
49,_10_4811.jpeg,167.0,139.0,253.0,219.0,eosinophil
50,_10_4909.jpeg,151.0,53.0,263.0,168.0,eosinophil
51,_10_495.jpeg,81.0,34.0,181.0,116.0,eosinophil
52,_10_5263.jpeg,0.0,157.0,90.0,239.0,eosinophil
53,_10_5540.jpeg,204.0,187.0,299.0,240.0,eosinophil
54,_10_5800.jpeg,179.0,184.0,280.0,240.0,eosinophil
55,_10_6184.jpeg,145.0,27.0,242.0,122.0,eosinophil
56,_10_6436.jpeg,169.0,85.0,304.0,217.0,eosinophil
57,_10_6635.jpeg,20.0,19.0,119.0,102.0,eosinophil
58,_10_672.jpeg,73.0,105.0,231.0,234.0,eosinophil
